DNAExtractionGroup	DNAExtractionBatch	SampleID	Donor	Condition	Replicate	TubePosition	DNAExtractionDate	PowerFecalLot	PowerFecalKit	DNAConcentration	X100ng.DNA	ExtractedBy	sample	Kit	Temperature
3	2	D06_ZR_R3	D06	ZR	R3	5	August 30, 2021	169031860	Kit 3	2.28	43.86	Dylan	D06.ZR.R3	Zymo	Room Temp
3	2	D02_ZR_R3	D02	ZR	R3	6	August 30, 2021	169031860	Kit 3	2.16	46.3	Dylan	D02.ZR.R3	Zymo	Room Temp
3	2	D04_OF_R3	D04	OF	R3	7	August 30, 2021	169031860	Kit 3	18	5.56	Dylan	D04.OF.R3	Omnigene	Frozen
3	2	D04_OR_R3	D04	OR	R3	8	August 30, 2021	169031860	Kit 3	45.4	2.2	Dylan	D04.OR.R3	Omnigene	Room Temp
3	2	D05_ZF_R3	D05	ZF	R3	10	August 30, 2021	169031860	Kit 3	10.4	9.62	Dylan	D05.ZF.R3	Zymo	Frozen
3	2	D06_ZH_R3	D06	ZH	R3	11	August 30, 2021	169031860	Kit 4	2.16	46.3	Dylan	D06.ZH.R3	Zymo	Hot
3	2	D07_NF_R3	D07	NF	R3	12	August 30, 2021	169031860	Kit 4	26.4	3.79	Dylan	D07.NF.R3	No Preservative	Frozen
3	2	D03_NF_R3	D03	NF	R3	13	August 30, 2021	169031860	Kit 4	27	3.7	Dylan	D03.NF.R3	No Preservative	Frozen
3	2	D08_OR_R3	D08	OR	R3	14	August 30, 2021	169031860	Kit 4	89	1.12	Dylan	D08.OR.R3	Omnigene	Room Temp
3	2	D10_ZH_R3	D10	ZH	R3	15	August 30, 2021	169031860	Kit 4	2.88	34.72	Dylan	D10.ZH.R3	Zymo	Hot
3	2	D05_OH_R3	D05	OH	R3	16	August 30, 2021	169031860	Kit 4	42.8	2.34	Dylan	D05.OH.R3	Omnigene	Hot
3	2	D01_ZF_R3	D01	ZF	R3	17	August 30, 2021	169031860	Kit 4	10.3	9.71	Dylan	D01.ZF.R3	Zymo	Frozen
3	2	D09_ZF_R3	D09	ZF	R3	19	August 30, 2021	169031860	Kit 4	5.3	18.87	Dylan	D09.ZF.R3	Zymo	Frozen
3	2	D09_OH_R3	D09	OH	R3	20	August 30, 2021	169031860	Kit 4	76.6	1.31	Dylan	D09.OH.R3	Omnigene	Hot
3	3	D10_ZF_R3	D10	ZF	R3	1	September 02, 2021	169035243	Kit 5	7.24	13.81	Mai	D10.ZF.R3	Zymo	Frozen
3	3	D02_ZF_R3	D02	ZF	R3	2	September 02, 2021	169035243	Kit 5	12.4	8.06	Mai	D02.ZF.R3	Zymo	Frozen
3	3	D08_NF_R3	D08	NF	R3	3	September 02, 2021	169035243	Kit 5	112	0.89	Mai	D08.NF.R3	No Preservative	Frozen
3	3	D06_ZF_R3	D06	ZF	R3	4	September 02, 2021	169035243	Kit 5	19.9	5.03	Mai	D06.ZF.R3	Zymo	Frozen
3	3	D07_ZH_R3	D07	ZH	R3	5	September 02, 2021	169035243	Kit 5	11.1	9.01	Mai	D07.ZH.R3	Zymo	Hot
3	3	D05_OF_R3	D05	OF	R3	6	September 02, 2021	169035243	Kit 5	81.8	1.22	Mai	D05.OF.R3	Omnigene	Frozen
3	3	D04_NF_R3	D04	NF	R3	7	September 02, 2021	169035243	Kit 5	96.6	1.04	Mai	D04.NF.R3	No Preservative	Frozen
3	3	D10_OH_R3	D10	OH	R3	8	September 02, 2021	169035243	Kit 5	37.4	2.67	Mai	D10.OH.R3	Omnigene	Hot
3	3	D03_ZR_R3	D03	ZR	R3	9	September 02, 2021	169035243	Kit 5	8.54	11.71	Mai	D03.ZR.R3	Zymo	Room Temp
3	3	D02_OH_R3	D02	OH	R3	10	September 02, 2021	169035243	Kit 5	89.6	1.12	Mai	D02.OH.R3	Omnigene	Hot
3	3	D09_OR_R3	D09	OR	R3	12	September 02, 2021	169035243	Kit 5	90.4	1.11	Mai	D09.OR.R3	Omnigene	Room Temp
3	3	D03_ZH_R3	D03	ZH	R3	14	September 02, 2021	169035243	Kit 5	12.9	7.75	Mai	D03.ZH.R3	Zymo	Hot
3	3	D05_OR_R3	D05	OR	R3	15	September 02, 2021	169035243	Kit 5	82.2	1.22	Mai	D05.OR.R3	Omnigene	Room Temp
3	3	D09_OF_R3	D09	OF	R3	16	September 02, 2021	169035243	Kit 5	108	0.93	Mai	D09.OF.R3	Omnigene	Frozen
3	3	D06_OH_R3	D06	OH	R3	17	September 02, 2021	169035243	Kit 5	94.8	1.05	Mai	D06.OH.R3	Omnigene	Hot
3	3	D07_ZR_R3	D07	ZR	R3	18	September 02, 2021	169035243	Kit 5	11.3	8.85	Mai	D07.ZR.R3	Zymo	Room Temp
3	3	D01_OR_R3	D01	OR	R3	19	September 02, 2021	169035243	Kit 5	102	0.98	Mai	D01.OR.R3	Omnigene	Room Temp
3	3	D01_OF_R3	D01	OF	R3	20	September 02, 2021	169035243	Kit 5	102	0.98	Mai	D01.OF.R3	Omnigene	Frozen
3	4	D10_OR_R3	D10	OR	R3	1	September 06, 2021	169035243	Kit 5	83.2	1.2	MaiRyan	D10.OR.R3	Omnigene	Room Temp
3	4	D08_ZR_R3	D08	ZR	R3	2	September 06, 2021	169035243	Kit 5	12.3	8.13	MaiRyan	D08.ZR.R3	Zymo	Room Temp
3	4	D06_OF_R3	D06	OF	R3	3	September 06, 2021	169035243	Kit 5	7.12	14.04	MaiRyan	D06.OF.R3	Omnigene	Frozen
3	4	D02_OR_R3	D02	OR	R3	4	September 06, 2021	169035243	Kit 5	112	0.89	MaiRyan	D02.OR.R3	Omnigene	Room Temp
3	4	D10_OF_R3	D10	OF	R3	5	September 06, 2021	169035243	Kit 5	55.4	1.81	MaiRyan	D10.OF.R3	Omnigene	Frozen
3	4	D08_ZH_R3	D08	ZH	R3	6	September 06, 2021	169035243	Kit 5	4.36	22.94	MaiRyan	D08.ZH.R3	Zymo	Hot
3	4	D02_OF_R3	D02	OF	R3	7	September 06, 2021	169035243	Kit 5	110	0.91	MaiRyan	D02.OF.R3	Omnigene	Frozen
3	4	D04_ZR_R3	D04	ZR	R3	8	September 06, 2021	169035243	Kit 5	16.6	6.02	MaiRyan	D04.ZR.R3	Zymo	Room Temp
3	4	D05_NF_R3	D05	NF	R3	11	September 06, 2021	169035243	Kit 5	129.2	0.77	MaiRyan	D05.NF.R3	No Preservative	Frozen
3	4	D03_OH_R3	D03	OH	R3	12	September 06, 2021	169035243	Kit 5	35.6	2.81	MaiRyan	D03.OH.R3	Omnigene	Hot
3	4	D01_NF_R3	D01	NF	R3	13	September 06, 2021	169035243	Kit 5	160.8	0.62	MaiRyan	D01.NF.R3	No Preservative	Frozen
3	4	D07_OH_R3	D07	OH	R3	14	September 06, 2021	169035243	Kit 5	150.8	0.66	MaiRyan	D07.OH.R3	Omnigene	Hot
3	4	D06_OR_R3	D06	OR	R3	15	September 06, 2021	169035243	Kit 5	116	0.86	MaiRyan	D06.OR.R3	Omnigene	Room Temp
3	4	D07_ZF_R3	D07	ZF	R3	16	September 06, 2021	169035243	Kit 5	13.2	7.58	MaiRyan	D07.ZF.R3	Zymo	Frozen
3	4	D09_NF_R3	D09	NF	R3	17	September 06, 2021	169035243	Kit 5	169.6	0.59	MaiRyan	D09.NF.R3	No Preservative	Frozen
3	4	D03_ZF_R3	D03	ZF	R3	18	September 06, 2021	169035243	Kit 5	14.3	6.99	MaiRyan	D03.ZF.R3	Zymo	Frozen
3	4	D04_ZH_R3	D04	ZH	R3	19	September 06, 2021	169035243	Kit 5	10	10	MaiRyan	D04.ZH.R3	Zymo	Hot
